#                R                  6p-                      6p                      7s 
#                              P           Q            P           Q           P           Q
   180      6.8062E-08    3.9090E-10  2.0122E-06   5.9201E-12 -6.6802E-16  2.4771E-06 -4.6585E-10
   181      6.8746E-08    3.9880E-10  2.0324E-06   6.0397E-12 -6.8836E-16  2.5020E-06 -4.7526E-10
   182      6.9437E-08    4.0686E-10  2.0528E-06   6.1617E-12 -7.0933E-16  2.5271E-06 -4.8486E-10
   183      7.0135E-08    4.1507E-10  2.0735E-06   6.2862E-12 -7.3093E-16  2.5525E-06 -4.9465E-10
   184      7.0840E-08    4.2346E-10  2.0943E-06   6.4132E-12 -7.5319E-16  2.5782E-06 -5.0465E-10
   185      7.1552E-08    4.3201E-10  2.1153E-06   6.5427E-12 -7.7613E-16  2.6041E-06 -5.1484E-10
   186      7.2271E-08    4.4074E-10  2.1366E-06   6.6749E-12 -7.9976E-16  2.6303E-06 -5.2524E-10
   187      7.2997E-08    4.4964E-10  2.1581E-06   6.8097E-12 -8.2412E-16  2.6567E-06 -5.3585E-10
   188      7.3731E-08    4.5873E-10  2.1798E-06   6.9473E-12 -8.4922E-16  2.6834E-06 -5.4668E-10
   189      7.4472E-08    4.6800E-10  2.2017E-06   7.0876E-12 -8.7508E-16  2.7104E-06 -5.5772E-10
   190      7.5220E-08    4.7745E-10  2.2238E-06   7.2308E-12 -9.0173E-16  2.7376E-06 -5.6899E-10
   191      7.5976E-08    4.8709E-10  2.2461E-06   7.3769E-12 -9.2919E-16  2.7651E-06 -5.8048E-10
   192      7.6740E-08    4.9693E-10  2.2687E-06   7.5259E-12 -9.5749E-16  2.7929E-06 -5.9221E-10
   193      7.7511E-08    5.0697E-10  2.2915E-06   7.6779E-12 -9.8665E-16  2.8210E-06 -6.0417E-10
   194      7.8290E-08    5.1721E-10  2.3146E-06   7.8330E-12 -1.0167E-15  2.8493E-06 -6.1638E-10
   195      7.9077E-08    5.2766E-10  2.3378E-06   7.9913E-12 -1.0477E-15  2.8780E-06 -6.2883E-10
   196      7.9871E-08    5.3832E-10  2.3613E-06   8.1527E-12 -1.0796E-15  2.9069E-06 -6.4153E-10
   197      8.0674E-08    5.4920E-10  2.3850E-06   8.3174E-12 -1.1124E-15  2.9361E-06 -6.5449E-10
   198      8.1485E-08    5.6029E-10  2.4090E-06   8.4854E-12 -1.1463E-15  2.9656E-06 -6.6771E-10
   199      8.2304E-08    5.7161E-10  2.4332E-06   8.6569E-12 -1.1812E-15  2.9954E-06 -6.8120E-10
   200      8.3131E-08    5.8316E-10  2.4577E-06   8.8317E-12 -1.2172E-15  3.0255E-06 -6.9496E-10
   201      8.3967E-08    5.9494E-10  2.4824E-06   9.0101E-12 -1.2543E-15  3.0559E-06 -7.0900E-10
   202      8.4810E-08    6.0696E-10  2.5073E-06   9.1922E-12 -1.2925E-15  3.0867E-06 -7.2332E-10
   203      8.5663E-08    6.1922E-10  2.5325E-06   9.3779E-12 -1.3318E-15  3.1177E-06 -7.3794E-10
   204      8.6524E-08    6.3173E-10  2.5580E-06   9.5673E-12 -1.3724E-15  3.1490E-06 -7.5284E-10
   205      8.7393E-08    6.4449E-10  2.5837E-06   9.7606E-12 -1.4142E-15  3.1807E-06 -7.6805E-10
   206      8.8272E-08    6.5751E-10  2.6097E-06   9.9578E-12 -1.4573E-15  3.2126E-06 -7.8357E-10
   207      8.9159E-08    6.7079E-10  2.6359E-06   1.0159E-11 -1.5016E-15  3.2449E-06 -7.9940E-10
   208      9.0055E-08    6.8434E-10  2.6624E-06   1.0364E-11 -1.5474E-15  3.2775E-06 -8.1555E-10
   209      9.0960E-08    6.9817E-10  2.6891E-06   1.0574E-11 -1.5945E-15  3.3105E-06 -8.3202E-10
   210      9.1874E-08    7.1227E-10  2.7162E-06   1.0787E-11 -1.6431E-15  3.3437E-06 -8.4883E-10
   211      9.2797E-08    7.2666E-10  2.7435E-06   1.1005E-11 -1.6931E-15  3.3773E-06 -8.6598E-10
   212      9.3730E-08    7.4134E-10  2.7710E-06   1.1227E-11 -1.7447E-15  3.4113E-06 -8.8347E-10
   213      9.4672E-08    7.5631E-10  2.7989E-06   1.1454E-11 -1.7978E-15  3.4456E-06 -9.0132E-10
   214      9.5623E-08    7.7159E-10  2.8270E-06   1.1686E-11 -1.8525E-15  3.4802E-06 -9.1953E-10
   215      9.6585E-08    7.8718E-10  2.8554E-06   1.1922E-11 -1.9090E-15  3.5152E-06 -9.3810E-10
   216      9.7555E-08    8.0308E-10  2.8841E-06   1.2162E-11 -1.9671E-15  3.5505E-06 -9.5705E-10
   217      9.8536E-08    8.1931E-10  2.9131E-06   1.2408E-11 -2.0270E-15  3.5862E-06 -9.7639E-10
   218      9.9526E-08    8.3586E-10  2.9424E-06   1.2659E-11 -2.0887E-15  3.6222E-06 -9.9611E-10
   219      1.0053E-07    8.5274E-10  2.9719E-06   1.2915E-11 -2.1523E-15  3.6586E-06 -1.0162E-09
   220      1.0154E-07    8.6997E-10  3.0018E-06   1.3175E-11 -2.2179E-15  3.6954E-06 -1.0368E-09
   221      1.0256E-07    8.8754E-10  3.0320E-06   1.3442E-11 -2.2854E-15  3.7325E-06 -1.0577E-09
   222      1.0359E-07    9.0547E-10  3.0625E-06   1.3713E-11 -2.3550E-15  3.7700E-06 -1.0791E-09
   223      1.0463E-07    9.2376E-10  3.0932E-06   1.3990E-11 -2.4268E-15  3.8079E-06 -1.1009E-09
   224      1.0568E-07    9.4243E-10  3.1243E-06   1.4273E-11 -2.5007E-15  3.8462E-06 -1.1231E-09
   225      1.0674E-07    9.6146E-10  3.1557E-06   1.4561E-11 -2.5768E-15  3.8849E-06 -1.1458E-09
   226      1.0782E-07    9.8089E-10  3.1874E-06   1.4855E-11 -2.6553E-15  3.9239E-06 -1.1689E-09
