#                                P           Q            P           Q            P           Q
#                R                    6s                       6p-                      6p 
   152      5.1440E-08      5.0430E-06 -7.1679E-10   2.1625E-10  1.4729E-06   3.2279E-12 -2.7529E-16
   153      5.1957E-08      5.0937E-06 -7.3127E-10   2.2062E-10  1.4877E-06   3.2932E-12 -2.8367E-16
   154      5.2479E-08      5.1449E-06 -7.4604E-10   2.2508E-10  1.5026E-06   3.3597E-12 -2.9231E-16
   155      5.3007E-08      5.1966E-06 -7.6111E-10   2.2963E-10  1.5177E-06   3.4275E-12 -3.0121E-16
   156      5.3539E-08      5.2489E-06 -7.7649E-10   2.3427E-10  1.5330E-06   3.4968E-12 -3.1038E-16
   157      5.4078E-08      5.3016E-06 -7.9217E-10   2.3900E-10  1.5484E-06   3.5674E-12 -3.1984E-16
   158      5.4621E-08      5.3549E-06 -8.0818E-10   2.4383E-10  1.5640E-06   3.6395E-12 -3.2958E-16
   159      5.5170E-08      5.4087E-06 -8.2450E-10   2.4875E-10  1.5797E-06   3.7130E-12 -3.3961E-16
   160      5.5724E-08      5.4631E-06 -8.4116E-10   2.5378E-10  1.5955E-06   3.7880E-12 -3.4996E-16
   161      5.6284E-08      5.5180E-06 -8.5815E-10   2.5890E-10  1.6116E-06   3.8646E-12 -3.6061E-16
   162      5.6850E-08      5.5734E-06 -8.7549E-10   2.6413E-10  1.6278E-06   3.9426E-12 -3.7160E-16
   163      5.7421E-08      5.6294E-06 -8.9317E-10   2.6947E-10  1.6441E-06   4.0223E-12 -3.8291E-16
   164      5.7999E-08      5.6860E-06 -9.1122E-10   2.7491E-10  1.6607E-06   4.1035E-12 -3.9457E-16
   165      5.8581E-08      5.7432E-06 -9.2962E-10   2.8047E-10  1.6773E-06   4.1864E-12 -4.0659E-16
   166      5.9170E-08      5.8009E-06 -9.4840E-10   2.8613E-10  1.6942E-06   4.2710E-12 -4.1897E-16
   167      5.9765E-08      5.8592E-06 -9.6756E-10   2.9191E-10  1.7112E-06   4.3573E-12 -4.3173E-16
   168      6.0366E-08      5.9181E-06 -9.8711E-10   2.9781E-10  1.7284E-06   4.4453E-12 -4.4488E-16
   169      6.0972E-08      5.9775E-06 -1.0070E-09   3.0383E-10  1.7458E-06   4.5351E-12 -4.5843E-16
   170      6.1585E-08      6.0376E-06 -1.0274E-09   3.0996E-10  1.7633E-06   4.6267E-12 -4.7239E-16
   171      6.2204E-08      6.0983E-06 -1.0481E-09   3.1623E-10  1.7811E-06   4.7202E-12 -4.8678E-16
   172      6.2829E-08      6.1596E-06 -1.0693E-09   3.2261E-10  1.7990E-06   4.8155E-12 -5.0160E-16
   173      6.3461E-08      6.2215E-06 -1.0909E-09   3.2913E-10  1.8171E-06   4.9128E-12 -5.1688E-16
   174      6.4098E-08      6.2840E-06 -1.1130E-09   3.3578E-10  1.8353E-06   5.0121E-12 -5.3262E-16
   175      6.4743E-08      6.3472E-06 -1.1354E-09   3.4256E-10  1.8538E-06   5.1133E-12 -5.4884E-16
   176      6.5393E-08      6.4110E-06 -1.1584E-09   3.4948E-10  1.8724E-06   5.2166E-12 -5.6556E-16
   177      6.6050E-08      6.4754E-06 -1.1818E-09   3.5654E-10  1.8912E-06   5.3220E-12 -5.8278E-16
   178      6.6714E-08      6.5405E-06 -1.2057E-09   3.6375E-10  1.9102E-06   5.4295E-12 -6.0053E-16
   179      6.7385E-08      6.6062E-06 -1.2300E-09   3.7109E-10  1.9294E-06   5.5392E-12 -6.1882E-16
   180      6.8062E-08      6.6726E-06 -1.2549E-09   3.7859E-10  1.9488E-06   5.6511E-12 -6.3766E-16
   181      6.8746E-08      6.7397E-06 -1.2802E-09   3.8624E-10  1.9684E-06   5.7652E-12 -6.5708E-16
   182      6.9437E-08      6.8074E-06 -1.3061E-09   3.9404E-10  1.9882E-06   5.8817E-12 -6.7709E-16
   183      7.0135E-08      6.8758E-06 -1.3325E-09   4.0200E-10  2.0082E-06   6.0005E-12 -6.9771E-16
   184      7.0840E-08      6.9449E-06 -1.3594E-09   4.1012E-10  2.0283E-06   6.1217E-12 -7.1896E-16
   185      7.1552E-08      7.0147E-06 -1.3868E-09   4.1841E-10  2.0487E-06   6.2454E-12 -7.4086E-16
   186      7.2271E-08      7.0852E-06 -1.4149E-09   4.2686E-10  2.0693E-06   6.3716E-12 -7.6342E-16
   187      7.2997E-08      7.1564E-06 -1.4434E-09   4.3548E-10  2.0901E-06   6.5003E-12 -7.8667E-16
   188      7.3731E-08      7.2283E-06 -1.4726E-09   4.4428E-10  2.1111E-06   6.6316E-12 -8.1063E-16
   189      7.4472E-08      7.3010E-06 -1.5023E-09   4.5326E-10  2.1323E-06   6.7656E-12 -8.3531E-16
   190      7.5220E-08      7.3744E-06 -1.5327E-09   4.6241E-10  2.1538E-06   6.9022E-12 -8.6075E-16
   191      7.5976E-08      7.4485E-06 -1.5637E-09   4.7175E-10  2.1754E-06   7.0417E-12 -8.8697E-16
   192      7.6740E-08      7.5233E-06 -1.5952E-09   4.8128E-10  2.1973E-06   7.1839E-12 -9.1398E-16
   193      7.7511E-08      7.5990E-06 -1.6275E-09   4.9101E-10  2.2194E-06   7.3290E-12 -9.4181E-16
   194      7.8290E-08      7.6753E-06 -1.6603E-09   5.0092E-10  2.2417E-06   7.4771E-12 -9.7050E-16
   195      7.9077E-08      7.7525E-06 -1.6939E-09   5.1104E-10  2.2642E-06   7.6281E-12 -1.0001E-15
   196      7.9871E-08      7.8304E-06 -1.7281E-09   5.2137E-10  2.2869E-06   7.7822E-12 -1.0305E-15
   197      8.0674E-08      7.9091E-06 -1.7630E-09   5.3190E-10  2.3099E-06   7.9395E-12 -1.0619E-15
   198      8.1485E-08      7.9886E-06 -1.7986E-09   5.4265E-10  2.3331E-06   8.0998E-12 -1.0942E-15
   199      8.2304E-08      8.0688E-06 -1.8350E-09   5.5361E-10  2.3566E-06   8.2635E-12 -1.1276E-15
   200      8.3131E-08      8.1499E-06 -1.8720E-09   5.6479E-10  2.3803E-06   8.4304E-12 -1.1619E-15
   201      8.3967E-08      8.2318E-06 -1.9098E-09   5.7620E-10  2.4042E-06   8.6007E-12 -1.1973E-15
   202      8.4810E-08      8.3146E-06 -1.9484E-09   5.8784E-10  2.4284E-06   8.7745E-12 -1.2337E-15
   203      8.5663E-08      8.3981E-06 -1.9878E-09   5.9972E-10  2.4528E-06   8.9517E-12 -1.2713E-15
   204      8.6524E-08      8.4825E-06 -2.0279E-09   6.1183E-10  2.4774E-06   9.1326E-12 -1.3100E-15
   205      8.7393E-08      8.5678E-06 -2.0689E-09   6.2419E-10  2.5023E-06   9.3170E-12 -1.3499E-15
   206      8.8272E-08      8.6539E-06 -2.1107E-09   6.3680E-10  2.5275E-06   9.5053E-12 -1.3910E-15
   207      8.9159E-08      8.7409E-06 -2.1533E-09   6.4966E-10  2.5529E-06   9.6973E-12 -1.4334E-15
   208      9.0055E-08      8.8287E-06 -2.1968E-09   6.6279E-10  2.5785E-06   9.8932E-12 -1.4771E-15
   209      9.0960E-08      8.9175E-06 -2.2412E-09   6.7618E-10  2.6044E-06   1.0093E-11 -1.5220E-15
   210      9.1874E-08      9.0071E-06 -2.2865E-09   6.8984E-10  2.6306E-06   1.0297E-11 -1.5684E-15
   211      9.2797E-08      9.0976E-06 -2.3327E-09   7.0377E-10  2.6570E-06   1.0505E-11 -1.6162E-15
   212      9.3730E-08      9.1890E-06 -2.3798E-09   7.1799E-10  2.6837E-06   1.0717E-11 -1.6654E-15
   213      9.4672E-08      9.2814E-06 -2.4279E-09   7.3249E-10  2.7107E-06   1.0934E-11 -1.7161E-15
   214      9.5623E-08      9.3747E-06 -2.4769E-09   7.4729E-10  2.7380E-06   1.1155E-11 -1.7684E-15
   215      9.6585E-08      9.4689E-06 -2.5270E-09   7.6239E-10  2.7655E-06   1.1380E-11 -1.8222E-15
   216      9.7555E-08      9.5640E-06 -2.5780E-09   7.7779E-10  2.7933E-06   1.1610E-11 -1.8777E-15
   217      9.8536E-08      9.6602E-06 -2.6301E-09   7.9350E-10  2.8213E-06   1.1844E-11 -1.9349E-15
   218      9.9526E-08      9.7572E-06 -2.6832E-09   8.0953E-10  2.8497E-06   1.2084E-11 -1.9938E-15
   219      1.0053E-07      9.8553E-06 -2.7374E-09   8.2588E-10  2.8783E-06   1.2328E-11 -2.0545E-15
   220      1.0154E-07      9.9544E-06 -2.7927E-09   8.4257E-10  2.9073E-06   1.2577E-11 -2.1171E-15
   221      1.0256E-07      1.0054E-05 -2.8492E-09   8.5959E-10  2.9365E-06   1.2831E-11 -2.1816E-15
   222      1.0359E-07      1.0155E-05 -2.9067E-09   8.7695E-10  2.9660E-06   1.3090E-11 -2.2480E-15
   223      1.0463E-07      1.0258E-05 -2.9654E-09   8.9467E-10  2.9958E-06   1.3354E-11 -2.3165E-15
   224      1.0568E-07      1.0361E-05 -3.0253E-09   9.1274E-10  3.0259E-06   1.3624E-11 -2.3870E-15
   225      1.0674E-07      1.0465E-05 -3.0865E-09   9.3118E-10  3.0563E-06   1.3899E-11 -2.4597E-15
   226      1.0782E-07      1.0570E-05 -3.1488E-09   9.4999E-10  3.0870E-06   1.4180E-11 -2.5346E-15
